Order_Number,Customer_ID,Accessory_ID,Accessory_Name,Purchase_Date,Price,Discount,Final_Price
ORD10500,CUST1078,AC003,ZenTime Metal Band,2025-01-01,69.99,11,62.29
ORD10501,CUST1097,AC003,ZenTime Metal Band,2025-01-02,69.99,0,69.99
ORD10502,CUST1205,AC011,ZenTime Premium Gift Box,2025-01-02,59.99,7,55.79
ORD10503,CUST1239,AC003,ZenTime Metal Band,2025-01-03,69.99,5,66.49
ORD10504,CUST1068,AC007,ZenTime Nylon Sport Loop,2025-01-03,34.99,12,30.79
ORD10505,CUST1076,AC012,ZenTime Bike Mount,2025-01-04,19.99,5,18.99
ORD10506,CUST1170,AC013,ZenTime Desk Stand,2025-01-05,29.99,15,25.49
ORD10507,CUST1019,AC014,ZenTime Waterproof Case,2025-01-05,34.99,13,30.44
ORD10508,CUST1152,AC010,ZenTime Running Armband,2025-01-05,22.99,1,22.76
ORD10509,CUST1234,AC014,ZenTime Waterproof Case,2025-01-05,34.99,2,34.29
ORD10510,CUST1208,AC007,ZenTime Nylon Sport Loop,2025-01-06,34.99,8,32.19
ORD10511,CUST1161,AC013,ZenTime Desk Stand,2025-01-07,29.99,3,29.09
ORD10512,CUST1217,AC014,ZenTime Waterproof Case,2025-01-08,34.99,13,30.44
ORD10513,CUST1117,AC008,ZenTime Bluetooth Earbuds,2025-01-08,89.99,6,84.59
ORD10514,CUST1281,AC006,ZenTime Travel Case,2025-01-08,24.99,9,22.74
ORD10515,CUST1143,AC012,ZenTime Bike Mount,2025-01-08,19.99,1,19.79
ORD10516,CUST1141,AC003,ZenTime Metal Band,2025-01-09,69.99,10,62.99
ORD10517,CUST1278,AC007,ZenTime Nylon Sport Loop,2025-01-09,34.99,9,31.84
ORD10518,CUST1136,AC003,ZenTime Metal Band,2025-01-09,69.99,5,66.49
ORD10519,CUST1290,AC010,ZenTime Running Armband,2025-01-09,22.99,14,19.77
ORD10520,CUST1183,AC004,ZenTime Charging Dock,2025-01-09,39.99,10,35.99
ORD10521,CUST1294,AC001,ZenTime Sports Band,2025-01-09,29.99,12,26.39
ORD10522,CUST1001,AC001,ZenTime Sports Band,2025-01-09,29.99,15,25.49
ORD10523,CUST1213,AC012,ZenTime Bike Mount,2025-01-09,19.99,9,18.19
ORD10524,CUST1142,AC007,ZenTime Nylon Sport Loop,2025-01-10,34.99,14,30.09
ORD10525,CUST1042,AC010,ZenTime Running Armband,2025-01-10,22.99,13,20.00
ORD10526,CUST1115,AC006,ZenTime Travel Case,2025-01-11,24.99,8,22.99
ORD10527,CUST1048,AC002,ZenTime Leather Strap,2025-01-12,49.99,11,44.49
ORD10528,CUST1069,AC004,ZenTime Charging Dock,2025-01-12,39.99,4,38.39
ORD10529,CUST1194,AC009,ZenTime Portable Charger,2025-01-12,44.99,2,44.09
ORD10530,CUST1261,AC006,ZenTime Travel Case,2025-01-12,24.99,11,22.24
ORD10531,CUST1228,AC002,ZenTime Leather Strap,2025-01-13,49.99,14,42.99
ORD10532,CUST1015,AC012,ZenTime Bike Mount,2025-01-14,19.99,14,17.19
ORD10533,CUST1081,AC009,ZenTime Portable Charger,2025-01-14,44.99,6,42.29
ORD10534,CUST1275,AC011,ZenTime Premium Gift Box,2025-01-15,59.99,10,53.99
ORD10535,CUST1187,AC008,ZenTime Bluetooth Earbuds,2025-01-15,89.99,15,76.49
ORD10536,CUST1032,AC012,ZenTime Bike Mount,2025-01-16,19.99,6,18.79
ORD10537,CUST1125,AC011,ZenTime Premium Gift Box,2025-01-17,59.99,13,52.19
ORD10538,CUST1199,AC007,ZenTime Nylon Sport Loop,2025-01-17,34.99,9,31.84
ORD10539,CUST1209,AC011,ZenTime Premium Gift Box,2025-01-18,59.99,9,54.59
ORD10540,CUST1124,AC003,ZenTime Metal Band,2025-01-21,69.99,4,67.19
ORD10541,CUST1005,AC005,ZenTime Screen Protector (3-pack),2025-01-22,19.99,12,17.59
ORD10542,CUST1156,AC008,ZenTime Bluetooth Earbuds,2025-01-23,89.99,0,89.99
ORD10543,CUST1255,AC009,ZenTime Portable Charger,2025-01-25,44.99,5,42.74
ORD10544,CUST1286,AC014,ZenTime Waterproof Case,2025-01-26,34.99,0,34.99
ORD10545,CUST1252,AC013,ZenTime Desk Stand,2025-01-27,29.99,0,29.99
ORD10546,CUST1070,AC005,ZenTime Screen Protector (3-pack),2025-01-27,19.99,0,19.99
ORD10547,CUST1287,AC013,ZenTime Desk Stand,2025-01-27,29.99,10,26.99
ORD10548,CUST1016,AC001,ZenTime Sports Band,2025-01-27,29.99,0,29.99
ORD10549,CUST1273,AC012,ZenTime Bike Mount,2025-01-28,19.99,5,18.99
ORD10550,CUST1036,AC008,ZenTime Bluetooth Earbuds,2025-01-28,89.99,15,76.49
ORD10551,CUST1221,AC008,ZenTime Bluetooth Earbuds,2025-01-28,89.99,4,86.39
ORD10552,CUST1181,AC006,ZenTime Travel Case,2025-01-30,24.99,9,22.74
ORD10553,CUST1271,AC012,ZenTime Bike Mount,2025-01-30,19.99,11,17.79
ORD10554,CUST1108,AC013,ZenTime Desk Stand,2025-01-30,29.99,3,29.09
ORD10555,CUST1264,AC013,ZenTime Desk Stand,2025-01-30,29.99,5,28.49
ORD10556,CUST1101,AC007,ZenTime Nylon Sport Loop,2025-01-30,34.99,2,34.29
ORD10557,CUST1050,AC012,ZenTime Bike Mount,2025-01-31,19.99,12,17.59
ORD10558,CUST1191,AC006,ZenTime Travel Case,2025-01-31,24.99,13,21.74
ORD10559,CUST1007,AC005,ZenTime Screen Protector (3-pack),2025-01-31,19.99,8,18.39
ORD10560,CUST1230,AC005,ZenTime Screen Protector (3-pack),2025-01-31,19.99,15,16.99
ORD10561,CUST1058,AC007,ZenTime Nylon Sport Loop,2025-02-02,34.99,6,32.89
ORD10562,CUST1074,AC012,ZenTime Bike Mount,2025-02-02,19.99,13,17.39
ORD10563,CUST1054,AC007,ZenTime Nylon Sport Loop,2025-02-02,34.99,11,31.14
ORD10564,CUST1295,AC010,ZenTime Running Armband,2025-02-02,22.99,0,22.99
ORD10565,CUST1080,AC004,ZenTime Charging Dock,2025-02-03,39.99,5,37.99
ORD10566,CUST1238,AC005,ZenTime Screen Protector (3-pack),2025-02-03,19.99,4,19.19
ORD10567,CUST1020,AC003,ZenTime Metal Band,2025-02-03,69.99,5,66.49
ORD10568,CUST1090,AC007,ZenTime Nylon Sport Loop,2025-02-04,34.99,4,33.59
ORD10569,CUST1037,AC012,ZenTime Bike Mount,2025-02-04,19.99,6,18.79
ORD10570,CUST1177,AC003,ZenTime Metal Band,2025-02-04,69.99,14,60.19
ORD10571,CUST1133,AC010,ZenTime Running Armband,2025-02-04,22.99,5,21.84
ORD10572,CUST1175,AC005,ZenTime Screen Protector (3-pack),2025-02-04,19.99,0,19.99
ORD10573,CUST1267,AC004,ZenTime Charging Dock,2025-02-04,39.99,10,35.99
ORD10574,CUST1064,AC005,ZenTime Screen Protector (3-pack),2025-02-05,19.99,5,18.99
ORD10575,CUST1141,AC014,ZenTime Waterproof Case,2025-02-05,34.99,10,31.49
ORD10576,CUST1025,AC010,ZenTime Running Armband,2025-02-05,22.99,1,22.76
ORD10577,CUST1199,AC012,ZenTime Bike Mount,2025-02-05,19.99,9,18.19
ORD10578,CUST1123,AC004,ZenTime Charging Dock,2025-02-05,39.99,0,39.99
ORD10579,CUST1036,AC014,ZenTime Waterproof Case,2025-02-05,34.99,10,31.49
ORD10580,CUST1056,AC007,ZenTime Nylon Sport Loop,2025-02-06,34.99,3,33.94
ORD10581,CUST1190,AC011,ZenTime Premium Gift Box,2025-02-06,59.99,15,50.99
ORD10582,CUST1194,AC014,ZenTime Waterproof Case,2025-02-08,34.99,2,34.29
ORD10583,CUST1218,AC002,ZenTime Leather Strap,2025-02-08,49.99,12,43.99
ORD10584,CUST1138,AC001,ZenTime Sports Band,2025-02-08,29.99,2,29.39
ORD10585,CUST1068,AC004,ZenTime Charging Dock,2025-02-08,39.99,2,39.19
ORD10586,CUST1174,AC001,ZenTime Sports Band,2025-02-09,29.99,7,27.89
ORD10587,CUST1176,AC002,ZenTime Leather Strap,2025-02-09,49.99,12,43.99
ORD10588,CUST1145,AC013,ZenTime Desk Stand,2025-02-09,29.99,5,28.49
ORD10589,CUST1149,AC002,ZenTime Leather Strap,2025-02-09,49.99,4,47.99
ORD10590,CUST1276,AC007,ZenTime Nylon Sport Loop,2025-02-10,34.99,0,34.99
ORD10591,CUST1117,AC012,ZenTime Bike Mount,2025-02-10,19.99,11,17.79
